author;n;primary_subject
E. Kladiva;1;Instrumentation and Detectors
P. Strizenec;1;Instrumentation and Detectors
F. Barreiro;2;Instrumentation and Detectors
G. Garcia;1;Instrumentation and Detectors
F. Labarga;1;Instrumentation and Detectors
S. Rodier;2;Instrumentation and Detectors
J. del Peso;1;Instrumentation and Detectors
M. Heldmann;1;Instrumentation and Detectors
K. Jakobs;1;Instrumentation and Detectors
L. Koepke;1;Instrumentation and Detectors
R. Othegraven;1;Instrumentation and Detectors
D. Schroff;1;Instrumentation and Detectors
J. Thomas;4;Instrumentation and Detectors
C. Zeitnitz;1;Instrumentation and Detectors
P. Barrillon;3;Instrumentation and Detectors
C. Benchouk;1;Instrumentation and Detectors
F. Djama;2;Instrumentation and Detectors
F. Henry-Couannier;1;Instrumentation and Detectors
L. Hinz;1;Instrumentation and Detectors
F. Hubaut;2;Instrumentation and Detectors
E. Monnier;2;Instrumentation and Detectors
C. Olivier;1;Instrumentation and Detectors
P. Pralavorio;2;Instrumentation and Detectors
M. Raymond;2;Instrumentation and Detectors
D. Sauvage;2;Instrumentation and Detectors
C. Serfon;2;Instrumentation and Detectors
S. Tisserant;2;Instrumentation and Detectors
J. Toth;2;Instrumentation and Detectors
G. Azuelos;2;Instrumentation and Detectors
C. Leroy;8;No primary subject
R. Mehdiyev;1;Instrumentation and Detectors
A. Akimov;3;Optics
M. Blagov;1;Instrumentation and Detectors
A. Komar;1;Instrumentation and Detectors
A. Snesarev;1;Instrumentation and Detectors
M. Speransky;1;Instrumentation and Detectors
V. Sulin;1;Instrumentation and Detectors
M. Yakimenko;1;Instrumentation and Detectors
M. Aderholz;1;Instrumentation and Detectors
T. Barillari;2;Instrumentation and Detectors
H. Bartko;3;No primary subject
W. Cwienk;1;Instrumentation and Detectors
Piero Nicolini;8;Plasma Physics
Massimo Tessarotto;14;Fluid Dynamics
Brian C. Sawyer;9;Atomic Physics
Olivier Mathon;1;Instrumentation and Detectors
Francois Baudelet;1;Instrumentation and Detectors
Jean-Paul Itie;1;Instrumentation and Detectors
Sebastien Pasternak;1;Instrumentation and Detectors
Alain Polian;1;Instrumentation and Detectors
Sakura Pascarelli;1;Instrumentation and Detectors
Alexei Beklemishev;2;Plasma Physics
Y. Y. Kagan;1;Geophysics
D. D. Jackson;1;Geophysics
F. Vollmer;1;Optics
H. C. Ren;1;Optics
S. Arnold;1;Optics
A. Libchaber;1;Optics
Pierre-Henri Chavanis;10;No primary subject
Berengere Dubrulle;5;Fluid Dynamics
V. P. Androsov;1;Accelerator Physics
I. M. Karnaukhov;1;Accelerator Physics
Yu. N. Telegin;1;Accelerator Physics
Albert Ferrando;6;Optics
Mario Zacares;1;Optics
Pedro Fernandez de Cordoba;3;Physics Education
Daniele Binosi;1;Optics
Alvaro Montero;1;Optics
B. Tsipinyuk;1;Atomic Physics
A. Bekkerman;1;Atomic Physics
E. Kolodney;1;Atomic Physics
Julius O. Smith III;1;Computational Physics
A.Baldini;1;Instrumentation and Detectors
C.Bemporad;1;Instrumentation and Detectors
F.Cei;1;Instrumentation and Detectors
T.Doke;1;Instrumentation and Detectors
M.Grassi;1;Instrumentation and Detectors
A.A.Grebenuk;1;Instrumentation and Detectors
D.N.Grigoriev;1;Instrumentation and Detectors
T.Haruyama;1;Instrumentation and Detectors
K.Kasami;1;Instrumentation and Detectors
J.Kikuchi;1;Instrumentation and Detectors
A.Maki;1;Instrumentation and Detectors
T.Mashimo;1;Instrumentation and Detectors
S.Mihara;1;Instrumentation and Detectors
T.Mitsuhashi;1;Instrumentation and Detectors
T.Mori;2;Instrumentation and Detectors
D.Nicolo`;1;Instrumentation and Detectors
H.Nishiguchi;1;Instrumentation and Detectors
W.Ootani;1;Instrumentation and Detectors
K.Ozone;1;Instrumentation and Detectors
A.Papa;1;Instrumentation and Detectors
R.Pazzi;1;Instrumentation and Detectors
S.Ritt;1;Instrumentation and Detectors
R.Sawada;1;Instrumentation and Detectors
F.Sergiampietri;1;Instrumentation and Detectors
G.Signorelli;1;Instrumentation and Detectors
S.Suzuki;1;Instrumentation and Detectors
K.Terasawa;1;Instrumentation and Detectors
M.Yamashita;1;Instrumentation and Detectors
S.Yamashita;3;Instrumentation and Detectors
T.Yoshimura;1;Instrumentation and Detectors
Yu.Yuri;1;Instrumentation and Detectors
Sushil Kumar Singh;1;Plasma Physics
Subhash Kumar;1;Plasma Physics
Yu. V. Arkhipov;2;Plasma Physics
F.B. Baimbetov;1;Plasma Physics
A.E. Davletov;1;Plasma Physics
O.S. Puchinkina;1;Plasma Physics
O.V. Salov;1;Plasma Physics
K.V. Starikov;1;Plasma Physics
V.V. Voronkov;1;Plasma Physics
J. Ankerhold;1;Chemical Physics
C. Escher;1;Chemical Physics
D.R. Glenn;2;Atomic Physics
J. Petricka;2;Atomic Physics
Eugene V. Tsiper;1;Atomic and Molecular Clusters
Christopher Slowe;1;Atomic Physics
Laurent Vernac;1;Atomic Physics
E. E. Rosinger;1;General Physics
Pavel Kundrat;2;No primary subject
Milos Lokajicek;2;No primary subject
Hana Hromcikova;2;No primary subject
Vesna Milosevic-Zdjelar;1;Classical Physics
Yu Ying Jin;1;Physics and Society
Guanrong Chen;12;Physics and Society
N. F. Loureiro;3;No primary subject
W. D. Dorland;1;Plasma Physics
M. G. Haines;1;Plasma Physics
Thad G. Walker;2;No primary subject
Mark Saffman;1;Atomic Physics
J M Aguirregabiria;1;Physics Education
A Hernández;1;Physics Education
M Rivas;1;Physics Education
R. Smirnov-Rueda;5;Classical Physics
V. V. Ivanov;2;Atomic Physics
R. A. Cornelussen;1;Atomic Physics
H. B. van Linden van den Heuvell;1;Atomic Physics
R. J. C. Spreeuw;5;Atomic Physics
V.O. de Haan;1;Plasma Physics
Neven Simicevic;4;Biological Physics
Donald T. Haynie;1;Biological Physics
Xi Yang;16;Accelerator Physics
James MacLachlan;6;Accelerator Physics
Charles M. Ankenbrandt;5;Accelerator Physics
Rene Padilla;3;Accelerator Physics
C. Ankenbrandt;4;Accelerator Physics
J. Norem;2;Accelerator Physics
J.J. Mock;1;Optics
A.F. Starr;1;Optics
L. Cacciapuoti;4;Atomic Physics
D. Chambon;1;Atomic Physics
P. Wolf;3;Atomic Physics
A. Luiten;2;Atomic Physics
M. Tobar;2;Atomic Physics
S. Kokkelmans;1;Atomic Physics
I.G. Usoskin;1;Atmospheric and Oceanic Physics
N.Marsh;1;Atmospheric and Oceanic Physics
G.A. Kovaltsov;1;Atmospheric and Oceanic Physics
K.Mursula;1;Atmospheric and Oceanic Physics
O.G. Gladysheva;1;Atmospheric and Oceanic Physics
K.R. Sreenivasan;1;Fluid Dynamics
Paul Blazkiewicz;1;Optics
P. Malcolm Gourlay;1;Optics
John R. Tucker;1;Optics
Aleksandar D. Rakic;1;Optics
Andrei V. Zvyagin;2;Optics
Lei Zhou;2;Optics
C. T. Chan;25;Optics
Chanh Q. Kieu;3;Atmospheric and Oceanic Physics
Benjamin D. Pearson;2;Geophysics
S. Fred Singer;2;Geophysics
Paul C. Knappenberger;1;Geophysics
Patrick J. Michaels;1;Geophysics
Barry I. Schneider;3;No primary subject
Nicolai Nygaard;2;No primary subject
Herbert Lichtenegger;1;History and Philosophy of Physics
U. Paniveni;1;Plasma Physics
V. Krishan;1;Plasma Physics
Jagdev Singh;1;Plasma Physics
R. Srikanth;1;Plasma Physics
J.Dunning-Davies;2;General Physics
Bryan W. Lee;1;Biological Physics
Amadeu K. Sum;1;Biological Physics
O.M. Marago';1;Atomic Physics
B. Fazio;1;Atomic Physics
P.G. Gucciardi;1;Atomic Physics
E.Arimondo;1;Atomic Physics
F.F. Karpeshin;1;Atomic and Molecular Clusters
J. da Providencia;1;Atomic and Molecular Clusters
C. Providencia;2;No primary subject
J. da Providencia jr;1;Atomic and Molecular Clusters
D.Nettels;1;Atomic and Molecular Clusters
A.Hofer;1;Atomic and Molecular Clusters
P.Moroshkin;1;Atomic and Molecular Clusters
R. Mueller-Siebert;1;Atomic and Molecular Clusters
S.Ulzega;1;Atomic and Molecular Clusters
A.Weis;1;Atomic and Molecular Clusters
Eduardo A. Barbosa;1;Optics
Achim Helm;1;Atmospheric and Oceanic Physics
Georg Beyerle;1;Atmospheric and Oceanic Physics
Markus Nitschke;1;Atmospheric and Oceanic Physics
Guang-jiong Ni;4;General Physics
Jèrôme Estève;1;Atomic Physics
Jean-Baptiste Trebbia;2;Atomic Physics
Hai Nguyen;1;Atomic Physics
I.Lindgren;1;Atomic Physics
S.Salomonson;1;Atomic Physics
F.Möller;1;Atomic Physics
Gabriel D. Puccini;1;General Physics
A.V. Yulin;2;Optics
D.V. Skryabin;6;Optics
P.St.J. Russell;1;Optics
E. Onofri;1;Computational Physics
C. E. Creffield;1;Atomic Physics
V. Naulin;4;Plasma Physics
A.H. Nielsen;1;Fluid Dynamics
G. Vienne;1;Optics
Y. Xu;3;No primary subject
H.-J. Deyerl;1;Optics
J.B. Jensen;1;Optics
T. Sorensen;1;Optics
M. Terrel;1;Optics
R.K. Lee;1;Optics
H. Simonsen;1;Optics
A. Yariv;1;Optics
R. Ciurylo;4;Atomic Physics
L Afanasyev;1;Atomic Physics
C Santamarina;1;Atomic Physics
A Tarasov;1;Atomic Physics
O Voskresenskaya;1;Atomic Physics
Eliane Luc-Koenig;3;Atomic Physics
Mihaela Vatasescu;2;No primary subject
Francoise Masnou-Seeuws;2;No primary subject
H.T. Smith;1;Space Physics
R.E. Johnson;1;Space Physics
V.I. Shematovich;1;Space Physics
T. P O'Connor;1;Atomic Physics
Sebastiaan Y.T. van de Meerakker;6;Atomic Physics
Paul H.M. Smeets;1;Atomic Physics
Rienk T. Jongma;1;Atomic Physics
Holger Merlitz;6;Biological Physics
Zikri M. Yusof;1;Accelerator Physics
Manoel E. Conde;1;Accelerator Physics
M. Rapacioli;2;No primary subject
C. Joblin;3;Chemical Physics
N. Ghodbane;3;Instrumentation and Detectors
M. Janssen;1;Instrumentation and Detectors
Jean-Jacques E. Slotine;1;Biological Physics
Pierre Carcabal;1;Chemical Physics
Vincent P. A. Lonij;2;No primary subject
V.D. Rusov;1;Atmospheric and Oceanic Physics
A.V. Glushkov;1;Atmospheric and Oceanic Physics
V.N. Vaschenko;2;No primary subject
V.N. Pavlovich;1;Atmospheric and Oceanic Physics
T.N. Zelentsova;2;No primary subject
O.T. Mihalus;1;Atmospheric and Oceanic Physics
V.A. Tarasov;2;No primary subject
D.N. Saranuk;1;Atmospheric and Oceanic Physics
David Liao;1;Physics Education
Steven K. Morrison;5;Optics
C. Lisowski;1;Atomic Physics
M. Knoop;1;Atomic Physics
G. Hagel;1;Atomic Physics
M. Vedel;1;Atomic Physics
F. Vedel;1;Atomic Physics
Reuven Segev;2;No primary subject
Y. C. Chen;3;Atomic Physics
Y. N. Martinez;3;Atomic Physics
P. G. Mickelson;7;Atomic Physics
A. D. Saenz;3;Atomic Physics
Edward Startsev;1;Atomic Physics
G.G.Kozlov;4;Optics
Natalia Panafidina;1;Geophysics
Zinovy Malkin;12;Geophysics
V.A.Andreev;3;General Physics
Teresa Nanni;1;Atmospheric and Oceanic Physics
Antonio Speranza;7;Atmospheric and Oceanic Physics
Dipti Banerjee;2;Optics
Sandro Calmanti;4;Atmospheric and Oceanic Physics
Vincenzo Artale;1;Atmospheric and Oceanic Physics
K. Ohmi;4;Accelerator Physics
M. Tobiyama;1;Accelerator Physics
E. Perevedentsev;1;Accelerator Physics
Neil Broderick;1;Optics
Anna Peacock;1;Optics
Katia Gallo;1;Optics
Ruth Lewen;1;Optics
Radu Bratfalean;1;Optics
Motohiko Tanaka;1;Computational Physics
Thomas Nattermann;1;Physics Education
Mohammad Ghorbanalilu;1;Plasma Physics
B. Shokri;2;Plasma Physics
P. Duggan;1;Astrophysics
B. McBreen;1;Astrophysics
A. J. Carr;1;Astrophysics
E. Winston;1;Astrophysics
G. Vaughan;1;Astrophysics
L. Hanlon;1;Astrophysics
S. McBreen;1;Astrophysics
L. Metcalfe;1;Astrophysics
A. Kvick;1;Astrophysics
A. E. Terry;1;Astrophysics
Robert Selkowitz;2;Astrophysics
V. A. Korol;1;Astrophysics
Stefan Luding;1;Statistical Mechanics
K.Yu. Bliokh;6;Optics
V.D. Freilikher;2;No primary subject
L.H. Olesen;2;No primary subject
L. Belmon;1;Soft Condensed Matter
H. Bruus;5;No primary subject
Yanzhao Cao;1;Materials Science
M. V. Fernandez-Serra;1;Soft Condensed Matter
Emilio Artacho;2;No primary subject
Albina Y. Borisevich;1;Materials Science
Sergey N. Rashkeev;1;Materials Science
Michael V. Glazoff;1;Materials Science
Karl Sohlberg;1;Materials Science
Stephen J. Pennycook;1;Materials Science
Sokrates T. Pantelides;2;Materials Science
Luis Seijo;1;Materials Science
Zoila Barandiaran;1;Materials Science
Yoram Burak;1;Soft Condensed Matter
Gil Ariel;1;Soft Condensed Matter
Ramaz Khomeriki;13;Pattern Formation and Solitons
Lasha Tkeshelashvili;2;No primary subject
Jordan Kyriakidis;3;Mesoscale and Nanoscale Physics
Tobias Paul;1;Other Condensed Matter
C. Holm;2;No primary subject
Ying-Ju Wang;1;Other Condensed Matter
Victor M. Bright;1;Other Condensed Matter
Quentin Diot;3;Atomic Physics
Tetsuo Kishimoto;3;Atomic Physics
R. A. Saravanan;1;Other Condensed Matter
Stephen R. Segal;3;Atomic Physics
Vincent Blondel;1;Information Retrieval
Anahi Gajardo;1;Information Retrieval
Maureen Heymans;1;Information Retrieval
Pierre Senellart;1;Information Retrieval
Paul Van Dooren;2;No primary subject
Dieter Brill;1;General Relativity and Quantum Cosmology
Ted Jacobson;1;General Relativity and Quantum Cosmology
J.P. Mbelek;1;General Relativity and Quantum Cosmology
Alexander V. Turbiner;3;Mathematical Physics
M.J. Duff;1;High Energy Physics - Theory
Kenneth Alexander;2;Mathematical Physics
N. Zenine;5;Mathematical Physics
S. Boukraa;5;Mathematical Physics
S. Hassani;5;Mathematical Physics
J-M. Maillard;1;Mathematical Physics
Oliver Jahn;1;Mathematical Physics
Amitabh Virmani;1;Mathematical Physics
Andrea Mazzino;5;Chaotic Dynamics
Massimo Vergassola;2;No primary subject
Max Firtel;1;Subcellular Processes
Grant Henderson;1;Subcellular Processes
Igor Sokolov;1;Subcellular Processes
Paolo Castorina;2;No primary subject
Dario Zappala';1;Cell Behavior
M. R. Ejtehadi;3;Soft Condensed Matter
S. P. Avall;1;Quantitative Methods
S. S. Plotkin;1;Quantitative Methods
Manuel Torres;2;Quantum Physics
Joseph Kimeu;1;Quantum Physics
Roland Mai;1;Quantum Physics
Antonio Di Lisi;1;Quantum Physics
J.D. Joannopoulos;1;Optics
Baburaj A.Puthenveettil;1;Fluid Dynamics
Jaywant H.Arakeri;1;Fluid Dynamics
W. H. Weber;1;Optics
G. W. Ford;1;Optics
Baburaj A. Puthenveettil;1;Fluid Dynamics
Jaywant H. Arakeri;1;Fluid Dynamics
B. Zimmermann;1;Atomic Physics
M. Lein;3;Atomic Physics
F. A. Rajgara;2;No primary subject
A. Ghasemizad;1;Plasma Physics
M. Kamran;1;Plasma Physics
S. Pustelny;12;Atomic Physics
Yingju Wang;1;Atomic Physics
David Stevens;1;Atomic Physics
Nathalie Westbrook;1;Atomic Physics
Debabrata Biswas;4;Plasma Physics
Raghwendra Kumar;4;Plasma Physics
R.R.Puri;3;Plasma Physics
Prachi Pradhan;2;Atomic and Molecular Clusters
Asok K. Ray;1;Atomic and Molecular Clusters
Elena A. Kolganova;3;Atomic and Molecular Clusters
Alexander K. Motovilov;5;Atomic and Molecular Clusters
Werner Sandhas;3;Atomic and Molecular Clusters
Marcin Makowski;1;Physics and Society
Yu.A. Zaliznyak;1;Space Physics
Toshimichi Shirai;1;Geophysics
Toshio Fukushima;1;Geophysics
J. Sebby-Strabley;1;Atomic Physics
R. T. R. Newell;1;Atomic Physics
J. O. Day;2;Atomic Physics
E. Brekke;2;Atomic Physics
Anna S. Zelenina;3;Optics
Anna Sanpera;1;Optics
Maciej Lewenstein;1;Optics
Rodolphe Le Targat;5;Atomic Physics
Pierre Lemonde;13;Atomic Physics
Borexino Collaboration;2;Instrumentation and Detectors
Paul Ginsparg;2;No primary subject
David Toback;2;Physics Education
Irina Novikova;11;No primary subject
M. Ghorbanalilu;1;Plasma Physics
Fredrik Tegenfeldt;2;Data Analysis, Statistics and Probability
Jennifer Riesz;3;Biological Physics
Paul Meredith;4;Biological Physics
K. Wiesner;1;Chemical Physics
A. Naves de Brito;1;Chemical Physics
S. L. Sorensen;1;Chemical Physics
N. Kosugi;1;Chemical Physics
O. Bjorneholm;1;Chemical Physics
Eva Lindroth;1;Atomic Physics
Jean-Paul Desclaux;2;Atomic Physics
Ricardo A. Depine;8;Optics
Jeffrey M. Shainline;1;Atomic Physics
K. I. Gus'kov;1;Chemical Physics
V. I. Kovalevsky;1;Chemical Physics
A. G. Rudavets;1;Chemical Physics
E. G. Saprykin;1;Chemical Physics
S C Tiwari;2;General Physics
A. Gover;1;Accelerator Physics
A. Faingersh;1;Accelerator Physics
A. Eliran;1;Accelerator Physics
M. Volshonok;1;Accelerator Physics
H. Kleinman;1;Accelerator Physics
S. Wolowelsky;1;Accelerator Physics
Y. Yakover;1;Accelerator Physics
B. Kapilevich;1;Accelerator Physics
Y. Lasser;1;Accelerator Physics
Z. Seidov;1;Accelerator Physics
M. Kanter;1;Accelerator Physics
A. Zinigrad;1;Accelerator Physics
M. Einat;1;Accelerator Physics
Y. Lurie;1;Accelerator Physics
A. Abramovich;1;Accelerator Physics
E. Weisman;1;Accelerator Physics
J. Shiloh;1;Accelerator Physics
N. Tagg;2;Instrumentation and Detectors
A. De Santo;1;Instrumentation and Detectors
A. Weber;3;Instrumentation and Detectors
A. Cabrera;2;Instrumentation and Detectors
P. S. Miyagawa;1;Instrumentation and Detectors
M. A. Barker;1;Instrumentation and Detectors
D. Michael;2;Instrumentation and Detectors
R. Saakyan;2;Instrumentation and Detectors
A.C. Hayes;2;Plasma Physics
G. Jungman;1;Plasma Physics
J.C. Solem;1;Plasma Physics
P.A. Bradley;2;Plasma Physics
R.S. Rundberg;1;Plasma Physics
Raishma Krishnan;1;Biological Physics
A. M. Jayannavar;1;Biological Physics
Arup Roy;1;General Physics
Anders Levermann;2;Atmospheric and Oceanic Physics
Alexa Griesel;2;Atmospheric and Oceanic Physics
Matthias Hofmann;1;Atmospheric and Oceanic Physics
Marisa Montoya;1;Atmospheric and Oceanic Physics
Stefan Rahmstorf;1;Atmospheric and Oceanic Physics
A. Wynveen;2;Biological Physics
D.J. Lee;1;Biological Physics
A.A. Kornyshev;1;Biological Physics
A. Rudenko;2;Atomic Physics
K. Zrost;2;Atomic Physics
C.D. Schröter;2;Atomic Physics
V.L.B. de Jesus;2;Atomic Physics
B. Feuerstein;2;Atomic Physics
R. Moshammer;2;Atomic Physics
Matthew B. Kennel;1;Data Analysis, Statistics and Probability
Arnab Mukherjee;1;Biological Physics
Ali Eftekhari;1;Chemical Physics
D. Alesini;5;Accelerator Physics
D. Delle Monache;1;Accelerator Physics
M. Incurvati;2;Accelerator Physics
C. Ligi;3;Accelerator Physics
M. A. Preger;2;Accelerator Physics
U. Rotundo;2;Accelerator Physics
B. Spataro;5;Accelerator Physics
A. Stella;4;Accelerator Physics
M. Vescovi;2;Accelerator Physics
V. Dangendorf;16;Instrumentation and Detectors
M. Goldberg;1;Instrumentation and Detectors
G. Laczko;2;Instrumentation and Detectors
I. Mor;4;Instrumentation and Detectors
M. Reginatto;1;Instrumentation and Detectors
D. Vartsky;6;Instrumentation and Detectors
Dario Motta;2;Instrumentation and Detectors
Stefan Schoenert;1;Instrumentation and Detectors
M. B. Goldberg;3;Instrumentation and Detectors
I. Mardor;1;Instrumentation and Detectors
G. Feldman;3;Instrumentation and Detectors
A. Shor;1;Instrumentation and Detectors
A. A. Logunov;1;General Physics
Cornelius Lanczos;5;History and Philosophy of Physics
D.F. Anagnostopoulos;2;Atomic Physics
S. Biri;1;Atomic Physics
D. Gotta;3;Atomic Physics
A. Gruber;3;Atomic Physics
B. Leoni;1;Atomic Physics
H. Fuhrmann;7;Nuclear Theory
L. M. Simons;1;Atomic Physics
L. Stingelin;2;Atomic Physics
A. Wasser;2;Atomic Physics
Marisa Roberto;1;Plasma Physics
Elton C. Da Silva;1;Plasma Physics
Ibere L. Caldas;1;Plasma Physics
Ricardo L. Viana;1;Plasma Physics
R. Elliott;2;Biological Physics
I. Szleifer;2;Biological Physics
William H. Miller;3;Chemical Physics
M.M.A. Stocklin;1;Atomic Physics
John E. Vaillancourt;1;Instrumentation and Detectors
R. Folch;1;Fluid Dynamics
E. Alvarez-Lacalle;2;No primary subject
J. Ortin;2;Fluid Dynamics
P. P. J. M. Schram;1;Fluid Dynamics
I. P. Yakimenko;1;Fluid Dynamics
Paolo Messina;2;No primary subject
Paolo Sigalotti;1;Instrumentation and Detectors
Lorenzo Lenci;2;No primary subject
Matteo Mannini;1;Instrumentation and Detectors
Stefano Prato;1;Instrumentation and Detectors
Paolo Pittana;1;Instrumentation and Detectors
Dante Gatteschi;1;Instrumentation and Detectors
P. Coullet;1;Fluid Dynamics
C.S. Riera;1;Fluid Dynamics
M.A. Fontelos;2;Fluid Dynamics
Daniel Green;1;Fluid Dynamics
William G. Unruh;1;Fluid Dynamics
S. Soltan;1;Classical Physics
J. Albrecht;1;Classical Physics
H.--U. Habermeier;1;Classical Physics
Yi-Fan Chen;2;Optics
Peer Fischer;3;Optics
Frank W.Wise;1;Optics
Alberto Lencina;2;No primary subject
Pablo Vaveliuk;2;No primary subject
J.P. Santos;6;Atomic Physics
F. Parente;10;Atomic Physics
S. Boucard;3;Atomic Physics
J.P. Desclaux;2;Atomic Physics
M. C. Martins;2;Atomic Physics
A. M. Costa;1;Atomic Physics
J. P. Santos;3;Atomic Physics
Willem G. J. Langeveld;1;Instrumentation and Detectors
G. Santin;2;No primary subject
D. Strul;2;No primary subject
S. Staelens;2;No primary subject
K. Assie;1;Medical Physics
D. Autret;1;Medical Physics
S. Avner;1;Medical Physics
R. Barbier;1;Medical Physics
M. Bardies;1;Medical Physics
P. M. Bloomfield;1;Medical Physics
D. Brasse;1;Medical Physics
V. Breton;7;No primary subject
P. Bruyndonckx;1;Medical Physics
I. Buvat;5;No primary subject
A. F. Chatziioannou;1;Medical Physics
Y. Choi;2;No primary subject
Y. H. Chung;1;Medical Physics
C. Comtat;1;Medical Physics
D. Donnarieix;3;Instrumentation and Detectors
L. Ferrer;1;Medical Physics
S. J. Glick;1;Medical Physics
C. J. Groiselle;1;Medical Physics
D. Guez;1;Medical Physics
P.-F. Honore;1;Medical Physics
S. Kerhoas-Cavata;1;Medical Physics
A. S. Kirov;1;Medical Physics
V. Kohli;1;Medical Physics
M. Koole;1;Medical Physics
M. Krieguer;1;Medical Physics
D. J. van der Laan;1;Medical Physics
F. Lamare;1;Medical Physics
G. Largeron;1;Medical Physics
C. Lartizien;1;Medical Physics
D. Lazaro;5;No primary subject
M. C. Maas;1;Medical Physics
L. Maigne;2;No primary subject
F. Melot;1;Medical Physics
C. Merheb;1;Medical Physics
E. Pennacchio;1;Medical Physics
J. Perez;1;Medical Physics
U. Pietrzyk;1;Medical Physics
F. R. Rannou;1;Medical Physics
M. Rey;1;Medical Physics
D. R. Schaart;1;Medical Physics
C. R. Schmidtlein;1;Medical Physics
L. Simon;2;No primary subject
T. Y. Song;1;Medical Physics
J.-M. Vieira;1;Medical Physics
D. Visvikis;1;Medical Physics
R. Van de Walle;1;Medical Physics
E. Wieers;1;Medical Physics
C. Morel;1;Medical Physics
O. V. Zubareva;4;Fluid Dynamics
M. A. Piestrup;1;General Physics
H. Kaya;1;Data Analysis, Statistics and Probability
Andrea Alu;8;Optics
Nader Engheta;10;Optics
Zhang Chen;1;Physics Education
R. R. Rosa;1;Computational Physics
A. Ferreira da Silva;1;Computational Physics
R. C. Brito;1;Computational Physics
L. S. Roman;1;Computational Physics
M. P. M. A. Baroni;1;Computational Physics
F. M. Ramos;1;Computational Physics
R. Ahuja;1;Computational Physics
C. Persson;1;Computational Physics
J. Mitroy;15;Atomic Physics
Yuri Yu. Tarasevich;1;Fluid Dynamics
Jan Sladkowski;4;Trading and Market Microstructure
Alexander Khanbekyan;1;Atomic Physics
George R. Welch;1;Atomic Physics
Hai-Jun Yang;8;No primary subject
Ji Zhu;3;Data Analysis, Statistics and Probability
Yong Liu;2;Data Analysis, Statistics and Probability
Ion Stancu;2;Data Analysis, Statistics and Probability
Gordon McGregor;1;Data Analysis, Statistics and Probability
T J Beams;1;Atomic Physics
G Peach;1;Atomic Physics
I B Whittingham;1;Atomic Physics
PICASSO Collaboration;2;Instrumentation and Detectors
M. Barnabe-Heider;2;Instrumentation and Detectors
E. Behnke;4;Instrumentation and Detectors
K. Clark;3;Instrumentation and Detectors
M. Di Marco;3;Instrumentation and Detectors
P. Doane;2;Instrumentation and Detectors
W. Feighery;2;Instrumentation and Detectors
M-H. Genest;1;Instrumentation and Detectors
R. Gornea;4;Instrumentation and Detectors
R. Guenette;2;Instrumentation and Detectors
S. Kanagalingam;2;Instrumentation and Detectors
C. Krauss;1;Instrumentation and Detectors
L. Lessard;3;Instrumentation and Detectors
I. Levine;4;Instrumentation and Detectors
J. P. Martin;2;Instrumentation and Detectors
A. J. Noble;3;Instrumentation and Detectors
R. Noulty;2;Instrumentation and Detectors
S. N. Shore;1;Instrumentation and Detectors
U. Wichoski;4;Instrumentation and Detectors
V .Zacek;1;Instrumentation and Detectors
R. Guardiola;5;Atomic and Molecular Clusters
A.Beklemishev;1;Plasma Physics
M.Tessarotto;4;Fluid Dynamics
C. Issever;1;Instrumentation and Detectors
K. Borras;1;Instrumentation and Detectors
D. Wegener;1;Instrumentation and Detectors
Peter Wienemann;4;Instrumentation and Detectors
Toshiaki Tauchi;7;No primary subject
Tooru Sugiyama;2;No primary subject
Kunihiko Watanabe;1;Geophysics
R.M. Gutiérrez;1;Data Analysis, Statistics and Probability
L. Sandoval;1;Data Analysis, Statistics and Probability
Camilo Ruiz;2;Atomic Physics
HERMES collaboration;1;Atomic Physics
B. M. Shergelashvili;3;Astrophysics
T. V. Zaqarashvili;2;Astrophysics
S. Poedts;14;Plasma Physics
B. Roberts;1;Astrophysics
Jose' A. de Freitas Pacheco;1;Astrophysics
F.W. Stecker;1;Astrophysics
J.F. Krizmanic;1;Astrophysics
L.M. Barbier;1;Astrophysics
E. Loh;1;Astrophysics
J.W. Mitchell;1;Astrophysics
P. Sokolsky;1;Astrophysics
R.E. Streitmatter;1;Astrophysics
Hum Chand;2;Astrophysics
Patrick Petitjean;2;Astrophysics
Raghunathan Srianand;2;Astrophysics
Bastien Aracil;2;Astrophysics
Vladimir A. Potapov;1;Astrophysics
Gilad Haran;1;Materials Science
Stefano Ruffo;7;Pattern Formation and Solitons
"German Ka""lbermann";1;Other Condensed Matter
Matthias Troyer;4;No primary subject
Uwe-Jens Wiese;1;Statistical Mechanics
Takahiro Mori;4;Other Condensed Matter
Hikaru Kawamura;7;Other Condensed Matter
Naomi S. Ginsberg;1;Other Condensed Matter
Joachim Brand;1;Other Condensed Matter
B. Kaulakys;8;No primary subject
J. Ruseckas;5;No primary subject
Stephane Berciaud;1;Other Condensed Matter
Laurent Cognet;14;Optics
Gerhard Blab;1;Other Condensed Matter
Brahim Lounis;11;Optics
Chris P. Duif;1;General Relativity and Quantum Cosmology
L. P. Grishchuk;1;General Relativity and Quantum Cosmology
V. V. Kulagin;1;General Relativity and Quantum Cosmology
V. N. Rudenko;1;General Relativity and Quantum Cosmology
A. Serdobolski;1;General Relativity and Quantum Cosmology
Emanuele Berti;2;General Relativity and Quantum Cosmology
Bo He;2;No primary subject
F. L. Teixeira;2;No primary subject
S.J. Brodsky;1;High Energy Physics - Phenomenology
