author;n;primary_subject
Giovanni Gallavotti;6;Chaotic Dynamics
V.Kurasov;1;Atmospheric and Oceanic Physics
Stephan I. Tzenov;15;Accelerator Physics
A. Lazarian;9;Astrophysics
Carlton M. Caves;2;Astrophysics
J.I. Collar;10;No primary subject
J. Puibasset;2;Astrophysics
T.A. Girard;2;Astrophysics
D. Limagne;2;Astrophysics
H.S. Miley;3;Astrophysics
G. Waysand;2;Astrophysics
Jonathan Doye;5;Condensed Matter
Karl Strobl;1;Statistical Mechanics
W. Qin;2;Materials Science
P. Fraundorf;13;Materials Science
Shigeyuki Komura;2;Soft Condensed Matter
David Andelman;7;Soft Condensed Matter
Nelson A. Alves;2;Statistical Mechanics
H. Feldmeier;6;Statistical Mechanics
J. Schnack;1;Statistical Mechanics
D. Sornette;66;No primary subject
A. Sornette;3;Geophysics
K. J. Veenstra;1;Materials Science
A. V. Petukhov;1;Materials Science
E. Jurdik;1;Materials Science
Th. Rasing;1;Materials Science
L. Angelini;3;Statistical Mechanics
F. De Carlo;2;No primary subject
C. Marangi;1;Statistical Mechanics
M. Pellicoro;6;Medical Physics
S. Stramaglia;7;Medical Physics
M. Khenner;6;No primary subject
A. Averbuch;2;Materials Science
M. Israeli;2;Materials Science
M. Nathan;2;Materials Science
J. C. Berengut;12;Atomic Physics
P. Astone;3;No primary subject
G. Pizzella;4;General Relativity and Quantum Cosmology
L.Ya.Kobelev;15;General Physics
S. Amato;1;High Energy Physics - Experiment
J. R. T. de Mello;1;High Energy Physics - Experiment
J. de Miranda;1;High Energy Physics - Experiment
C. James;1;High Energy Physics - Experiment
D. J. Summers;9;Accelerator Physics
S. B. Bracker;3;Accelerator Physics
Valery Telnov;10;High Energy Physics - Experiment
Peter. W. Gorham;1;High Energy Physics - Experiment
Horace Crater;2;High Energy Physics - Theory
Luca Lusanna;8;No primary subject
A.I. Chernykh;1;Chaotic Dynamics
M.G. Stepanov;2;No primary subject
I.V. Kolokolov;1;Chaotic Dynamics
N.V. Antonov;1;Chaotic Dynamics
A. Lanotte;7;Chaotic Dynamics
A. Mazzino;13;Chaotic Dynamics
Dmitri Volfson;2;No primary subject
Jorge Vinals;2;No primary subject
Kestutis Staliunas;8;No primary subject
Lutz Brusch;4;Chaotic Dynamics
Martin G. Zimmermann;3;Chaotic Dynamics
Martin van Hecke;3;Chaotic Dynamics
Markus Baer;5;Chaotic Dynamics
Alessandro Torcini;4;Chaotic Dynamics
Wei Min Jin;1;Quantum Physics
A.N.F. Aleixo;1;Quantum Physics
A.B. Balantekin;1;Quantum Physics
M.A. Candido Ribeiro;1;Quantum Physics
Johan Chu;1;Biological Physics
Chris Adami;2;No primary subject
K. Hallatschek;2;Plasma Physics
Jonathan D. Baker;1;Atomic Physics
Robert C. Forrey;1;Atomic Physics
Malgorzata Jeziorska;1;Atomic Physics
John D. Morgan III;1;Atomic Physics
M. Blaauboer;3;No primary subject
B.A. Malomed;2;Optics
G. Kurizki;6;Optics
Gesche Pospiech;1;Physics Education
Isa Kh. Zharekeshev;1;Computational Physics
Bernhard Kramer;1;Computational Physics
M. Brillouin;1;History and Philosophy of Physics
Alexey K. Mazur;10;No primary subject
Udo Seifert;2;No primary subject
M. W. Mitchell;4;No primary subject
Cindy I. Hancox;1;Optics
R. Y. Chiao;5;Optics
J. S. Arellano;1;Chemical Physics
L. M. Molina;1;Chemical Physics
A. Rubio;3;No primary subject
J. A. Alonso;1;Chemical Physics
Y. Bar-Yam;1;Biological Physics
E. Conejero Jarque;2;No primary subject
F. Cornolti;11;Plasma Physics
A. Macchi;10;Plasma Physics
H. Ruhl;7;Plasma Physics
Kensuke Yokoi;1;Fluid Dynamics
Feng Xiao;1;Fluid Dynamics
Carlos Castro;5;General Physics
Alex Granik;1;General Physics
T.Ohgaki;3;Accelerator Physics
Ben Yu-Kuang Hu;4;Classical Physics
J. A. Belinchon;2;General Physics
Jeremy S. Heyl;4;No primary subject
Eugenio DelRe;2;Optics
Mario Tamburrini;1;Optics
Aharon J. Agranat;2;Optics
K.B. Korotchenko;1;Physics Education
P. A. Barton;2;Atomic Physics
C. J. S. Donald;2;Atomic Physics
D. M. Lucas;4;Atomic Physics
D. A. Stevens;2;Atomic Physics
A. M. Steane;4;Atomic Physics
D. N. Stacey;4;Atomic Physics
Vladimir N. Serkin;1;Optics
Akira Hasegawa;1;Optics
D. M. Snyder;12;General Physics
H. Kunz;1;Atomic Physics
J. Chapuis;1;Atomic Physics
A. Jory;1;Atomic Physics
R. Egger;6;No primary subject
L. Muehlbacher;4;No primary subject
C. H. Mak;1;Chemical Physics
B. Maraghechi;1;Plasma Physics
B. Farrokhi;1;Plasma Physics
J. E. Willett;1;Plasma Physics
U.-H. Hwang;1;Plasma Physics
A.Mary Selvam;4;General Physics
A.P.Potylitsyn;1;Accelerator Physics
N.A.Potylitsyna;1;Accelerator Physics
Stefan Schippers;4;Atomic Physics
Timo Bartsch;2;Atomic Physics
Carsten Brandau;3;Atomic Physics
Alfred Mueller;3;Atomic Physics
Gerald Gwinner;3;Atomic Physics
Goetz Wissler;1;Atomic Physics
Michael Beutelspacher;2;Atomic Physics
Manfred Grieser;2;Atomic Physics
Andreas Wolf;4;Atomic Physics
Ronal Phaneuf;1;Atomic Physics
Erez M.Yahalomi;2;General Physics
Georg Pabst;2;Biological Physics
Michael Rappolt;3;Biological Physics
Heinz Amenitsch;3;Biological Physics
Peter Laggner;2;Biological Physics
Sigrid Bernstorff;2;No primary subject
S. Giovanazzi;2;Atomic Physics
A. Smerzi;3;No primary subject
S. Fantoni;2;No primary subject
J. M. Vaquero;1;Physics and Society
A. Santos;25;Statistical Mechanics
S. N. Gurbatov;1;Fluid Dynamics
A. V. Troussov;1;Fluid Dynamics
Thibaut Jonckheere;2;No primary subject
Cord A. Mueller;3;Atomic Physics
Robin Kaiser;14;Atomic Physics
Christian Miniatura;5;Atomic Physics
Dominique Delande;13;No primary subject
M K Samal;1;General Physics
V.A.Reshetov;1;Optics
Jacek Dziarmaga;4;Condensed Matter
S. Kümmel;4;Atomic and Molecular Clusters
J. Akola;4;Atomic and Molecular Clusters
M. Manninen;4;Atomic and Molecular Clusters
A. Parfenov;1;Optics
A. Chrzanowska;1;Optics
M. R. Jarvis;1;Biological Physics
P. P. Mitra;3;No primary subject
Charles Ofria;3;Biological Physics
Christoph Adami;7;Biological Physics
Travis C. Collier;3;Biological Physics
Grace K. Hsu;1;Biological Physics
Jacob D. Bekenstein;5;No primary subject
Asaf Oron;2;No primary subject
E. Vishniac;1;Astrophysics
Alexander Schekochihin;3;Astrophysics
Russell Kulsrud;5;Astrophysics
Franck Delahaye;4;Astrophysics
C.J. Zeippen;1;Astrophysics
Zakir F. Seidov;5;Astrophysics
P.I. Skvirsky;2;Astrophysics
S. Ayal;1;Astrophysics
M. Livio;1;Astrophysics
T. Piran;1;Astrophysics
Nelson Alves;1;Statistical Mechanics
S.A. Gurvitz;3;No primary subject
J. Kwapien;12;Statistical Finance
S. Drozdz;14;No primary subject
A.A. Ioannides;1;Statistical Mechanics
Eugene B. Kolomeisky;5;Condensed Matter
T. J. Newman;3;Statistical Mechanics
Joseph P. Straley;3;No primary subject
Xiaoya Qi;2;No primary subject
Ricardo Mansilla;1;Statistical Mechanics
S. B. Yuste;11;Statistical Mechanics
M. López de Haro;5;No primary subject
P.F. Bedaque;2;No primary subject
E. Braaten;1;Condensed Matter
H.-W. Hammer;5;No primary subject
W.B. Li;1;Soft Condensed Matter
K.J. Zhang;1;Soft Condensed Matter
J.V. Sengers;1;Soft Condensed Matter
R.W. Gammon;1;Soft Condensed Matter
J.M. Ortiz de Zarate;1;Soft Condensed Matter
Ozgur E. Mustecaplioglu;4;Optics
L. You;3;Quantum Physics
M. Tij;4;Statistical Mechanics
V. Garzó;2;Statistical Mechanics
J.M. Montanero;1;Statistical Mechanics
Ramin Golestanian;3;Quantum Physics
E. E. Tahiri;1;Statistical Mechanics
G. Korniss;5;Statistical Mechanics
M.A. Novotny;5;Statistical Mechanics
Z. Toroczkai;5;Statistical Mechanics
P.A. Rikvold;15;No primary subject
Matt Visser;3;General Relativity and Quantum Cosmology
C. Giunti;8;No primary subject
M. Laveder;2;High Energy Physics - Experiment
G. D'Agostini;14;Data Analysis, Statistics and Probability
M. Raso;1;High Energy Physics - Experiment
Wolfgang Lucha;1;High Energy Physics - Phenomenology
F. F. Schoberl;1;High Energy Physics - Phenomenology
Michael I.Eides;1;High Energy Physics - Phenomenology
Howard Grotch;6;High Energy Physics - Phenomenology
and Valery A.Shelyuto;1;High Energy Physics - Phenomenology
Michael Joyce;1;High Energy Physics - Phenomenology
Kimmo Kainulainen;1;High Energy Physics - Phenomenology
Tomislav Prokopec;1;High Energy Physics - Phenomenology
W.F. Chen;2;No primary subject
G. Kunstatter;3;General Relativity and Quantum Cosmology
Alexander Kiselev;3;No primary subject
Leonid Ryzhik;4;No primary subject
M. Glueck;2;No primary subject
A.R. Kolovsky;1;Chaotic Dynamics
H.J. Korsch;1;Chaotic Dynamics
Magnus Johansson;11;Pattern Formation and Solitons
Serge Aubry;4;Pattern Formation and Solitons
M. Cencini;10;Chaotic Dynamics
M. Falcioni;1;Chaotic Dynamics
H. Kantz;6;Data Analysis, Statistics and Probability
E. Olbrich;1;Chaotic Dynamics
A. Vulpiani;5;Chaotic Dynamics
Victor J.Sanchez-Morcillo;1;Pattern Formation and Solitons
Victor J. Sanchez-Morcillo;3;No primary subject
Marek Czachor;9;No primary subject
Holger F. Hofmann;9;Quantum Physics
Ortwin Hess;2;No primary subject
J. C. Lemm;2;Quantum Physics
E. Alfinito;3;Quantum Physics
G. Vitiello;2;Quantum Physics
Vladislav S.Olkhovsky;1;Quantum Physics
Giovanni Salesi;1;Quantum Physics
M.Genovese;5;Quantum Physics
G. Brida;5;Quantum Physics
C. Novero;6;Quantum Physics
E. Predazzi;4;Quantum Physics
Apoorva Patel;8;Quantum Physics
Akira Shimizu;2;Quantum Physics
Takayuki Miyadera;2;No primary subject
Lloyd C. L. Hollenberg;1;Quantum Physics
I. Baumann;1;Quantum Physics
A. Breidenassel;1;Quantum Physics
C. Zühlke;1;Quantum Physics
A. Kasimov;1;Quantum Physics
G. zu Putlitz;1;Quantum Physics
I. Reinhard;1;Quantum Physics
K. Jungmann;8;Atomic Physics
Alex Kaivarainen;15;General Physics
Stephen L. Adler;9;High Energy Physics - Phenomenology
Indrajit Mitra;1;Data Analysis, Statistics and Probability
C. Search;1;Atomic Physics
P.R. Berman;4;Chemical Physics
T.A. Heim;1;Atomic Physics
K. Hencken;1;Atomic Physics
D. Trautmann;1;Atomic Physics
G. Baur;1;Atomic Physics
Nancy L. Garcia;1;Data Analysis, Statistics and Probability
Jose L. Palacios;1;Data Analysis, Statistics and Probability
Tova Feldmann;3;Chemical Physics
Ronnie Kosloff;8;No primary subject
Calin Galeriu;4;General Physics
Alberto Alvarez;1;Atmospheric and Oceanic Physics
Emilio Hernandez-Garcia;7;No primary subject
Joaquin Tintore;1;Atmospheric and Oceanic Physics
Paul I. Palmer;1;Atmospheric and Oceanic Physics
J. J. Barnett;1;Atmospheric and Oceanic Physics
J. R. Eyre;1;Atmospheric and Oceanic Physics
S. B. Healy;1;Atmospheric and Oceanic Physics
B. Aune;1;Accelerator Physics
G. B. Tupper;1;Physics Education
Josiph Mladenov Rangelov;2;General Physics
Emmanuel Centeno;1;Optics
Didier Felbacq;6;Optics
B. Derrida;1;Biological Physics
S.C. Manrubia;1;Biological Physics
D.H. Zanette;1;Biological Physics
Josh P. Kemp;1;Chemical Physics
Zheng Y. Chen;1;Chemical Physics
Brahim Guizal;1;Optics
Frederic Zolla;2;Optics
Ingemar Haggstrom;1;Space Physics
Mikael Hedin;1;Space Physics
Takehiko Aso;1;Space Physics
Asta Pellinen-Wannberg;1;Space Physics
Assar Westman;1;Space Physics
A.R. Tumanyan;1;Accelerator Physics
Yu.L. Martirosyan;1;Accelerator Physics
V.C. Nikhogosyan;1;Accelerator Physics
N.Z. Akopov;1;Accelerator Physics
Z.G. Guiragossian;1;Accelerator Physics
R.M Martirosov;1;Accelerator Physics
Z.N. Akopov;1;Accelerator Physics
R.B. Fiorito;2;Accelerator Physics
D.W. Rule;1;Accelerator Physics
Ding-Yu Chung;5;General Physics
Zhifan Chen;4;Atomic Physics
Alfred Z Msezane;1;Atomic Physics
R. Singh;7;Plasma Physics
M. P. Bora;2;Plasma Physics
J. L. Roberts;3;Atomic Physics
N. R. Claussen;2;Atomic Physics
S. L. Cornish;4;Atomic Physics
C. E. Wieman;10;Physics Education
G. C. Asnani;1;Atmospheric and Oceanic Physics
M. K. Rama Varma Raja;1;Atmospheric and Oceanic Physics
Jacopo Bellazzini;2;No primary subject
A. Acus;1;Physics Education
R. Milot;4;Chemical Physics
A. P. J. Jansen;3;Chemical Physics
V. Mikhailovskii;3;Chemical Physics
A.I. Fisenko;3;Chemical Physics
A.P.J. Jansen;5;Chemical Physics
Yukio Shibata;2;Classical Physics
Satoshi Sasaki;2;Classical Physics
Kimihiro Ishi;2;Classical Physics
Mikihiko Ikezawa;2;Classical Physics
L.L.Nugaeva;2;No primary subject
L. Frappat;5;Biological Physics
A. Sciarrino;7;Biological Physics
P. Sorba;5;Biological Physics
A. E. Carlsson;4;Biological Physics
Jan M.L. Martin;13;Chemical Physics
Victor V. Kulagin;2;No primary subject
V. Guruprasad;3;General Physics
Tommaso Torelli;1;Atomic and Molecular Clusters
Lubos Mitas;2;No primary subject
Alexander Al-Hujaj;1;Atomic Physics
Peter Schmelcher;22;Atomic Physics
Pavel L. Chapovsky;3;Chemical Physics
Alejandro Cabo;2;No primary subject
Carlos Handy;1;Medical Physics
Daniel Bessis;2;No primary subject
K. M. O'Hara;3;Atomic Physics
S. R. Granade;2;Atomic Physics
M. E. Gehm;2;Atomic Physics
T. A. Savard;1;Atomic Physics
S. Bali;2;Atomic Physics
C. Freed;1;Atomic Physics
J. E. Thomas;2;Atomic Physics
P. Bouyer;6;Atomic Physics
V. Boyer;5;Atomic Physics
S.G. Murdoch;1;Atomic Physics
G. Delannoy;3;Atomic Physics
Y. Le Coq;10;Atomic Physics
M. Lecrivain;1;Atomic Physics
N. Garcia;3;Fluid Dynamics
V.V. Osipov;2;Fluid Dynamics
A. Levanyuk;1;Fluid Dynamics
Kirk T. McDonald;32;No primary subject
Alexander Morozovsky;2;General Physics
Sebastian Boehm;1;Atomic Physics
Amir A. Saghiri;1;Atomic Physics
Guido Saathoff;1;Atomic Physics
Reinhold Schuch;1;Atomic Physics
Dirk Schwalm;1;Atomic Physics
Max S. Zolotorev;5;No primary subject
Konstantin Shmakov;1;Accelerator Physics
Kwang-Je Kim;1;Classical Physics
Gennady V. Stupakov;1;Classical Physics
Heinrich Mitter;1;Accelerator Physics
J.P. Neirotti;3;Chemical Physics
F. Calvo;14;No primary subject
David L. Freeman;6;Chemical Physics
J.D. Doll;4;Chemical Physics
M. Conte;1;Accelerator Physics
M. Ferro;1;Accelerator Physics
G. Gemme;3;No primary subject
W.W. MacKay;2;Accelerator Physics
R. Parodi;3;No primary subject
M. Pusterla;1;Accelerator Physics
Konstantine Shmakov;1;Accelerator Physics
H. Engler;1;Atomic Physics
T. Weber;1;Atomic Physics
M. Mudrich;15;No primary subject
R. Grimm;14;Atomic Physics
M. Weidemueller;4;Atomic Physics
Andrei Ludu;3;Fluid Dynamics
Jerry P. Draayer;3;Fluid Dynamics
A. van Hameren;3;No primary subject
R. Kleiss;2;No primary subject
F. Bouchet;1;Fluid Dynamics
J. Sommeria;3;Fluid Dynamics
Luis Gonzalez-Mestres;2;General Physics
M.S. Hussein;6;No primary subject
Ludvig Faddeev;2;Plasma Physics
Antti J. Niemi;4;No primary subject
C.B. Yang;1;Biological Physics
X. Cai;1;Biological Physics
Z.M. Zhou;1;Biological Physics
M. J. McDonnell;2;Atomic Physics
J. P. Stacey;1;Atomic Physics
K. V. Klementev;3;Data Analysis, Statistics and Probability
A. Hoffknecht;1;Atomic Physics
C. Brandau;4;Atomic Physics
T. Bartsch;7;Chaotic Dynamics
C. Boehme;1;Atomic Physics
H. Knopp;1;Atomic Physics
S. Schippers;8;Atomic Physics
A. Mueller;7;Atomic Physics
C. Kozhuharov;6;Atomic Physics
K. Beckert;2;Atomic Physics
F. Bosch;3;Atomic Physics
B. Franzke;1;Atomic Physics
A. Kraemer;1;Atomic Physics
P.H. Mokler;3;Atomic Physics
F. Nolden;2;Atomic Physics
M. Steck;2;Atomic Physics
Th. Stoehlker;3;Atomic Physics
Z. Stachura;2;Atomic Physics
G.F. Bertsch;7;No primary subject
Angel Rubio;5;No primary subject
K. Yabana;5;No primary subject
Dirk Mueller;1;Atomic Physics
Eric A. Cornell;3;Atomic Physics
Marco Prevedelli;1;Atomic Physics
Peter D. D. Schwindt;1;Atomic Physics
Dana Z. Anderson;7;Atomic Physics
U. Leonhardt;5;Optics
P. Piwnicki;2;Optics
William R.B. Lionheart;2;Medical Physics
Jari Kaipio;1;Medical Physics
Christopher N. McLeod;1;Medical Physics
Antonina N. Fedorova;33;Accelerator Physics
Michael G. Zeitlin;33;Accelerator Physics
O.M. Ritter;1;Classical Physics
F.C. Santos;3;No primary subject
A.C. Tort;3;No primary subject
